permco,year,quarter_num,dlyret,dlyvol,dlycap
9848,2021,4,0.0018500312500000001,687295.390625,27756973.90625
9848,2022,1,-0.002709854838709678,937004.0,25957226.48387097
9848,2022,2,-0.001636306451612903,886912.9516129033,23137457.867096774
9848,2022,3,-0.0019231875,570034.390625,21992071.7
9848,2022,4,0.0024566349206349204,787491.5396825396,20419073.777777776
9848,2023,1,-0.00026885483870967757,621949.6774193548,21187931.548387095
9848,2023,2,0.0009449193548387097,601877.2258064516,19991651.93548387
9848,2023,3,-0.00022979365079365096,790070.3174603175,18687835.46031746
9848,2023,4,0.0020694285714285715,783258.8253968254,18081817.34920635
9848,2024,1,-0.000524704918032787,747795.9672131147,18642709.524590164
9848,2024,2,-0.000985031746031746,743981.619047619,17119955.411111113
9848,2024,3,0.001656875,550612.359375,18502421.9925
9848,2024,4,0.0005283281249999999,573111.53125,19211468.51734375
10302,2014,1,0.0011730491803278687,1703590.0983606558,17912638.07262295
10302,2014,2,0.0011303968253968254,1914974.1587301588,19149074.077301584
10302,2014,3,-0.0003176562499999999,1994967.890625,18822949.53703125
10302,2014,4,0.00250178125,2466396.828125,20342634.231875
10302,2015,1,0.0005689836065573771,3105129.37704918,24086766.349508196
10302,2015,2,-0.0023031111111111112,2258556.396825397,22634658.431904763
10302,2015,3,0.0008722031250000001,2772766.9375,20188691.14125
10302,2015,4,0.00043165625,2655057.078125,18108607.3784375
10302,2016,1,0.0022025409836065575,3226147.7540983604,18803618.878852457
10302,2016,2,0.0025145,2081590.34375,22236301.053125
10302,2016,3,-0.0002159375,2177859.828125,25221385.260625
10302,2016,4,-0.0015879682539682541,2273450.1587301586,22352698.617460318
10302,2017,1,0.0008953387096774192,1981671.5483870967,22062317.858064517
10302,2017,2,0.001274984126984127,1829553.111111111,23615064.148412697
10302,2017,3,-0.0008110793650793651,1392463.3015873015,23991096.375873018
10302,2017,4,-0.0010451746031746032,1673564.4126984128,22512323.796507936
10302,2018,1,-0.0027545901639344263,3061029.0655737706,18676524.654426232
10302,2018,2,0.002504328125,2354399.984375,18645276.5359375
10302,2018,3,-0.00043376190476190484,2048960.238095238,20635656.65714286
10302,2018,4,0.0015163492063492063,2466135.698412698,21015608.76888889
10302,2019,1,0.0016612131147540983,2153895.0,22266289.88360656
10302,2019,2,0.0013710476190476192,2333016.222222222,22827116.177619047
10302,2019,3,0.00127059375,1830765.09375,26410036.9440625
10302,2019,4,-0.0033366249999999997,2269684.546875,23402075.46796875
10302,2020,1,-0.00854575806451613,4649544.483870967,18508896.61935484
10302,2020,2,0.006867444444444443,4394354.0,12319121.364761906
10302,2020,3,0.0026465937499999996,2767291.421875,14916430.2815625
10302,2020,4,0.003050734375,2436577.796875,17274820.91671875
10302,2021,1,0.0016879672131147542,2161619.9836065574,19220643.558852457
10302,2021,2,0.0012978095238095238,2105841.5714285714,20937638.50079365
10302,2021,3,-0.000323796875,2406782.890625,21609903.67234375
